Company Name,Sector,Market Share (%),Stock Price ($),Revenue (M$),Profit Margin (%),VC Funding (M$),Mergers & Acquisitions,Growth Rate (%)
QuantumLeap,Cloud Computing,14.37,621.08,9685.22,-0.1,299.46,8,2.04
AI Ventures,Cybersecurity,9.47,273.68,42474.66,4.76,345.27,7,14.84
AI Ventures,FinTech,14.56,874.9,3727.61,20.51,331.86,1,19.18
QuantumLeap,Cloud Computing,27.63,608.22,17231.81,21.74,222.32,3,8.81
TechCorp,FinTech,20.62,369.16,41595.35,2.34,68.48,8,6.52
CloudX,Cybersecurity,37.64,799.33,8238.6,8.12,318.03,2,11.85
EcomNext,Cybersecurity,1.57,616.25,31897.52,26.8,411.07,7,9.62
QuantumLeap,FinTech,8.66,1065.5,47871.71,8.65,162.81,0,1.15
EcomNext,FinTech,28.86,182.64,20555.22,-6.42,169.98,1,19.36
QuantumLeap,Cybersecurity,20.39,1312.91,26993.59,14.88,100.87,6,4.8
CloudX,Cloud Computing,21.34,1255.7,13425.94,13.09,58.06,3,11.56
EcomNext,Artificial Intelligence,14.02,1136.1,25950.58,0.66,401.17,5,18.69
EcomNext,Artificial Intelligence,24.23,367.27,11874.68,11.31,375.59,9,13.16
AI Ventures,E-Commerce,25.28,1175.3,35708.26,27.0,323.95,7,19.85
InnoSoft,Artificial Intelligence,35.73,557.19,44472.57,25.37,204.12,0,3.77
InnoSoft,Cybersecurity,1.41,880.41,14758.12,12.46,481.04,3,9.61
QuantumLeap,Cloud Computing,18.94,76.71,18835.78,11.59,472.51,4,16.68
TechCorp,E-Commerce,7.52,486.32,45479.74,-4.49,126.17,4,19.01
CloudX,Cybersecurity,14.48,582.46,27914.95,3.76,71.16,0,11.06
EcomNext,FinTech,20.39,935.94,47504.24,-9.2,316.61,7,6.22
TechCorp,FinTech,22.14,395.08,26010.86,1.29,340.29,0,17.83
CloudX,FinTech,13.04,283.32,25145.67,15.48,45.72,1,10.02
InnoSoft,Cloud Computing,18.33,1224.83,26547.08,-3.85,146.94,1,11.3
InnoSoft,E-Commerce,18.81,1189.14,5728.96,-6.14,213.66,3,18.52
EcomNext,Cybersecurity,22.0,786.7,30578.0,6.21,458.9,10,19.68
InnoSoft,E-Commerce,12.4,369.45,19705.14,26.44,76.26,10,2.43
InnoSoft,Artificial Intelligence,15.33,972.83,46016.32,-2.63,452.53,4,17.34
InnoSoft,E-Commerce,19.72,1290.78,14804.56,25.53,50.72,5,10.74
EcomNext,FinTech,9.49,1026.44,13751.54,-4.92,249.17,8,11.22
TechCorp,Artificial Intelligence,12.36,888.83,3134.18,-7.53,89.28,7,1.69
QuantumLeap,FinTech,36.91,1085.28,37190.93,-1.41,331.62,5,19.91
TechCorp,E-Commerce,39.55,236.86,18397.86,27.36,485.37,0,16.36
InnoSoft,Cloud Computing,23.06,859.95,29494.03,11.24,92.23,4,5.08
InnoSoft,FinTech,21.64,1014.1,45771.19,0.26,476.96,9,15.21
EcomNext,Cloud Computing,2.93,272.85,12228.62,-0.18,331.91,10,17.88
TechCorp,Cloud Computing,5.38,1082.1,22674.11,7.09,250.23,8,1.62
QuantumLeap,FinTech,24.33,1066.99,2147.38,23.95,200.17,3,10.5
CloudX,FinTech,14.98,1267.81,20855.89,7.0,256.43,0,19.33
EcomNext,FinTech,19.82,1424.77,49352.07,1.95,59.47,1,14.21
TechCorp,Cloud Computing,15.11,115.35,11124.58,20.95,153.52,6,16.68
CloudX,E-Commerce,28.77,1100.47,14570.33,1.08,456.46,6,17.2
EcomNext,Cybersecurity,22.13,1246.01,49754.36,1.01,239.55,0,8.34
InnoSoft,E-Commerce,32.67,1383.48,3818.48,4.92,431.83,8,18.92
QuantumLeap,E-Commerce,39.99,51.57,43014.73,23.42,117.98,0,4.99
QuantumLeap,FinTech,4.9,1169.32,34961.37,12.89,107.47,5,13.23
InnoSoft,FinTech,14.54,1259.25,23960.92,12.26,410.14,1,12.24
AI Ventures,Cybersecurity,33.0,1028.46,18089.41,-2.82,81.5,3,2.26
TechCorp,E-Commerce,3.05,372.39,41043.67,0.21,77.43,7,4.01
AI Ventures,Cybersecurity,18.1,1075.69,6156.62,28.93,324.07,6,18.78
TechCorp,E-Commerce,18.96,1296.18,49969.24,15.16,369.58,7,13.25
InnoSoft,Artificial Intelligence,27.72,266.93,25347.26,24.13,349.89,9,12.99
TechCorp,Cloud Computing,15.24,115.31,31159.31,3.31,464.25,6,15.41
TechCorp,E-Commerce,14.16,483.94,30050.9,-4.28,247.91,3,4.66
QuantumLeap,Cybersecurity,10.82,1012.91,33820.37,17.07,177.78,3,14.47
CloudX,Cloud Computing,24.17,177.31,26995.41,24.2,451.63,9,11.2
EcomNext,Artificial Intelligence,28.19,1464.1,33850.05,20.41,313.03,10,3.76
EcomNext,Artificial Intelligence,36.65,711.67,12004.95,26.15,383.83,9,15.91
CloudX,Cybersecurity,8.52,583.46,32035.38,10.96,170.23,9,19.06
AI Ventures,E-Commerce,5.06,786.34,32246.37,1.71,187.61,0,19.49
QuantumLeap,Cybersecurity,18.97,114.87,49668.23,4.74,403.75,8,5.15
TechCorp,Artificial Intelligence,10.74,366.7,22643.7,7.06,235.25,1,2.15
TechCorp,E-Commerce,19.84,802.25,10787.88,5.45,496.11,3,18.73
CloudX,E-Commerce,2.69,1384.8,44739.79,13.2,179.5,0,11.16
TechCorp,Cloud Computing,15.61,1405.52,22397.88,-0.49,402.66,4,11.25
TechCorp,Artificial Intelligence,28.98,218.36,21030.86,-0.79,306.61,5,18.38
QuantumLeap,FinTech,6.32,1202.94,18738.28,27.99,486.8,8,19.4
TechCorp,Artificial Intelligence,35.9,1437.43,47502.56,-6.96,40.36,7,13.05
EcomNext,Cloud Computing,37.2,891.75,11457.22,-6.69,247.61,8,10.75
CloudX,Cybersecurity,36.36,147.28,32545.2,15.94,344.25,5,11.37
EcomNext,Cybersecurity,19.52,956.17,7988.4,6.76,174.37,4,16.53
QuantumLeap,Cybersecurity,1.41,371.2,29161.45,3.36,69.78,9,4.96
InnoSoft,Cybersecurity,10.51,67.63,6141.97,-8.84,344.94,10,3.24
AI Ventures,Cloud Computing,1.46,912.14,23929.26,21.15,426.81,4,13.66
CloudX,FinTech,35.17,888.56,21484.44,12.22,468.9,4,10.98
CloudX,Cybersecurity,23.18,1321.41,4242.4,29.19,163.46,6,1.31
AI Ventures,Cybersecurity,28.42,396.15,5214.89,7.58,86.84,8,13.15
CloudX,FinTech,4.2,251.5,25382.97,-7.64,424.59,4,10.61
AI Ventures,Cybersecurity,21.94,1130.69,27813.2,15.43,239.82,8,7.5
EcomNext,FinTech,6.98,398.31,44274.2,26.36,36.63,7,1.99
InnoSoft,FinTech,18.31,815.85,23332.89,3.09,286.77,6,7.91
CloudX,FinTech,15.48,797.17,37624.5,5.27,16.95,5,10.25
CloudX,FinTech,25.07,1435.02,12648.97,-1.77,58.8,0,9.43
EcomNext,Cloud Computing,1.35,90.16,30290.73,20.0,35.02,4,18.17
TechCorp,Cybersecurity,9.86,1342.42,47070.15,-0.92,121.12,4,18.28
EcomNext,Artificial Intelligence,22.18,238.31,18727.93,-0.79,437.5,0,13.41
InnoSoft,Cloud Computing,12.31,1444.84,964.68,-4.24,29.56,0,11.67
CloudX,Artificial Intelligence,4.72,1353.88,33519.34,11.76,485.28,2,16.06
CloudX,FinTech,15.16,1211.48,11503.47,13.88,104.58,8,6.21
QuantumLeap,Cybersecurity,16.51,1411.49,19187.24,28.7,470.05,5,16.05
AI Ventures,Cybersecurity,9.62,759.45,35247.67,-3.94,147.67,9,14.97
InnoSoft,FinTech,4.24,1288.99,21459.95,-1.06,53.17,10,17.67
TechCorp,FinTech,11.98,205.99,19626.41,20.39,340.67,5,2.42
QuantumLeap,Cybersecurity,10.89,717.94,28753.61,28.88,102.93,4,11.93
EcomNext,FinTech,12.49,896.14,3993.62,23.83,127.37,5,2.28
EcomNext,Cloud Computing,6.33,291.54,15683.86,17.95,318.78,0,12.38
InnoSoft,E-Commerce,14.82,1104.8,9478.4,23.08,225.32,10,11.51
CloudX,Cybersecurity,3.73,564.62,34824.84,26.16,497.76,1,12.29
QuantumLeap,E-Commerce,33.96,1425.11,43708.09,26.96,210.91,9,18.72
TechCorp,Cloud Computing,5.55,764.61,26280.68,8.93,332.41,6,11.58
InnoSoft,Cybersecurity,35.13,419.32,4152.62,-6.99,237.34,0,12.51
TechCorp,Cloud Computing,32.61,1171.97,35710.55,6.93,333.33,10,15.74
EcomNext,FinTech,23.93,659.36,20896.95,14.27,212.13,6,4.7
QuantumLeap,E-Commerce,34.31,143.78,25237.46,14.87,195.98,7,9.39
CloudX,Cloud Computing,12.99,146.4,44203.04,0.82,321.06,3,18.33
EcomNext,E-Commerce,7.3,1122.49,12832.61,29.39,56.7,4,19.63
TechCorp,Artificial Intelligence,39.29,433.21,4592.9,21.02,225.68,10,2.4
CloudX,Artificial Intelligence,17.57,375.94,21267.8,19.64,339.6,10,2.7
QuantumLeap,FinTech,30.31,1233.37,30181.02,27.15,101.26,4,7.42
TechCorp,FinTech,15.93,143.07,36606.25,2.09,285.48,1,3.43
AI Ventures,Cloud Computing,35.49,806.54,42484.75,5.76,356.49,10,5.06
InnoSoft,FinTech,14.41,427.35,40084.83,17.92,129.31,3,16.59
QuantumLeap,Artificial Intelligence,32.89,1465.34,22016.07,29.08,150.08,10,7.02
TechCorp,Artificial Intelligence,5.01,522.4,34870.95,-9.98,163.98,6,17.81
CloudX,Artificial Intelligence,8.96,475.39,15841.62,-9.73,279.14,4,8.37
InnoSoft,E-Commerce,20.94,1103.8,19518.94,9.87,227.38,5,2.05
EcomNext,Cloud Computing,33.91,721.58,47901.87,8.26,372.16,0,11.04
TechCorp,Cybersecurity,2.8,502.81,25904.78,20.18,451.48,2,13.79
CloudX,FinTech,1.67,870.9,37925.77,26.44,3.44,6,15.49
CloudX,Cloud Computing,5.2,215.89,37005.15,18.96,233.92,5,18.46
AI Ventures,Artificial Intelligence,5.26,869.92,9166.33,-4.68,227.82,0,19.94
AI Ventures,Artificial Intelligence,19.46,1248.4,18617.15,7.81,111.06,2,10.21
QuantumLeap,Artificial Intelligence,38.96,1217.68,30255.97,-9.76,131.98,8,6.44
InnoSoft,FinTech,37.4,1108.16,37040.7,9.78,354.52,0,14.81
CloudX,FinTech,25.27,892.41,7702.49,23.7,429.96,4,8.72
QuantumLeap,Cloud Computing,20.28,284.69,30319.63,-2.49,348.59,2,7.51
TechCorp,Cybersecurity,1.61,1337.18,8064.0,20.96,113.84,3,5.64
CloudX,Cybersecurity,9.79,1185.93,36111.68,16.09,398.95,0,3.83
AI Ventures,Artificial Intelligence,6.13,1401.13,29031.79,-7.65,328.01,0,16.65
TechCorp,Cybersecurity,1.78,93.36,46600.94,-8.81,471.96,0,2.35
QuantumLeap,E-Commerce,13.56,350.2,26845.97,16.12,480.27,0,1.16
QuantumLeap,E-Commerce,24.22,1092.76,22877.88,8.57,44.95,2,11.2
AI Ventures,E-Commerce,18.01,530.78,20998.73,29.26,353.86,9,15.42
EcomNext,FinTech,14.59,984.91,33484.07,20.14,487.08,4,9.84
CloudX,FinTech,13.16,695.63,16835.97,3.41,459.76,8,3.97
AI Ventures,Cloud Computing,29.67,696.26,29164.61,11.94,251.66,6,11.99
TechCorp,Cybersecurity,2.43,1183.66,657.39,-0.92,201.88,10,14.01
QuantumLeap,Cloud Computing,39.71,1389.29,44948.78,0.29,112.01,6,5.81
EcomNext,Cybersecurity,6.55,631.11,49133.11,14.51,73.4,10,14.92
InnoSoft,E-Commerce,12.38,128.88,26261.96,20.85,52.3,1,3.74
AI Ventures,FinTech,21.76,1346.03,32510.58,7.27,113.13,8,11.4
AI Ventures,E-Commerce,24.95,1485.63,38535.24,8.37,394.22,5,17.03
InnoSoft,Artificial Intelligence,11.21,1338.88,29706.46,12.89,411.01,4,17.33
EcomNext,Artificial Intelligence,36.25,165.45,12559.62,-8.63,484.09,4,6.71
EcomNext,Cybersecurity,36.74,501.21,25200.7,15.34,363.36,8,1.25
AI Ventures,E-Commerce,9.66,575.69,1152.28,-6.09,2.26,0,9.68
EcomNext,FinTech,8.9,1091.48,44277.1,22.29,56.37,0,18.96
InnoSoft,FinTech,26.92,985.28,6101.77,10.82,135.99,8,17.9
CloudX,Artificial Intelligence,7.41,160.87,19020.77,-7.7,107.62,10,7.36
QuantumLeap,Cloud Computing,1.08,292.96,29230.43,-2.45,237.73,0,16.22
InnoSoft,E-Commerce,37.08,1304.07,4333.94,17.08,43.3,8,12.27
InnoSoft,FinTech,28.15,86.06,13250.76,-2.1,473.94,6,16.26
AI Ventures,Cybersecurity,22.6,273.07,46970.22,29.0,133.6,9,11.24
QuantumLeap,Cybersecurity,3.63,1358.04,48742.1,18.24,452.61,3,18.92
QuantumLeap,Cloud Computing,17.28,644.5,12852.69,28.31,66.76,5,14.19
EcomNext,Cloud Computing,16.08,1269.06,11004.9,-6.03,10.35,5,19.15
AI Ventures,FinTech,28.12,396.1,19552.64,26.63,274.85,9,12.6
EcomNext,Cybersecurity,31.31,810.28,28043.73,24.51,83.81,4,3.96
TechCorp,FinTech,13.65,1016.08,7118.44,7.58,19.73,3,19.52
InnoSoft,Artificial Intelligence,19.12,398.08,16459.18,5.2,77.16,1,3.13
AI Ventures,Cybersecurity,33.1,1490.99,32441.01,9.17,114.08,3,4.29
QuantumLeap,Cybersecurity,34.58,1076.29,5635.85,19.53,19.2,0,10.53
TechCorp,Cloud Computing,38.75,713.29,3400.37,26.88,347.04,7,13.62
EcomNext,FinTech,18.92,630.57,4222.99,26.37,389.29,10,12.85
InnoSoft,Cloud Computing,34.06,1284.52,41999.01,3.97,430.51,0,11.41
QuantumLeap,E-Commerce,15.1,1412.58,49135.15,-5.26,189.35,5,17.03
TechCorp,E-Commerce,21.44,1308.21,17147.54,12.72,433.27,5,17.58
AI Ventures,Artificial Intelligence,32.67,298.22,49179.68,11.91,21.42,1,7.23
QuantumLeap,Artificial Intelligence,38.49,1181.59,46820.25,-9.85,205.26,10,15.58
AI Ventures,Cloud Computing,26.33,989.29,22227.52,-5.51,443.58,8,11.26
AI Ventures,FinTech,22.72,212.3,14520.95,17.67,459.82,4,1.24
AI Ventures,Artificial Intelligence,6.84,911.99,9632.7,-7.99,72.66,4,3.99
AI Ventures,Artificial Intelligence,12.59,174.07,45648.18,5.97,446.69,3,2.49
AI Ventures,Artificial Intelligence,32.69,1146.93,37959.25,11.74,164.38,6,18.8
QuantumLeap,FinTech,33.75,705.6,22589.92,24.36,339.72,1,12.87
QuantumLeap,FinTech,33.25,898.97,9443.9,15.42,50.44,7,13.2
AI Ventures,FinTech,24.17,1392.51,14703.12,7.32,172.97,9,18.13
CloudX,FinTech,24.43,1132.92,33719.57,-1.86,473.5,4,7.61
InnoSoft,E-Commerce,13.61,527.38,48386.55,16.75,405.16,2,2.57
CloudX,Cybersecurity,15.45,510.92,15936.9,25.8,307.03,5,1.98
TechCorp,FinTech,36.51,265.93,10786.68,10.71,480.13,4,9.12
TechCorp,Cloud Computing,14.79,187.91,3996.58,-4.97,455.58,8,11.08
InnoSoft,E-Commerce,12.69,1041.7,48332.65,5.63,12.68,5,1.48
QuantumLeap,FinTech,30.66,63.73,41494.33,22.55,393.42,1,7.8
EcomNext,Cloud Computing,3.78,1488.0,11132.39,12.2,190.28,8,17.87
AI Ventures,Cloud Computing,32.47,1440.22,38987.73,19.76,280.49,3,12.88
AI Ventures,FinTech,10.58,709.72,3748.81,25.66,187.23,0,8.91
EcomNext,FinTech,25.82,1488.86,11812.61,-1.93,234.06,9,14.82
AI Ventures,Artificial Intelligence,29.51,352.4,11169.8,26.0,354.22,8,15.19
TechCorp,E-Commerce,22.22,325.5,32461.19,10.71,199.79,7,8.34
CloudX,Artificial Intelligence,8.79,555.29,33914.39,-1.66,368.8,3,17.79
EcomNext,E-Commerce,36.75,1491.75,4068.83,-0.88,83.33,2,1.72
QuantumLeap,Artificial Intelligence,25.21,977.31,27547.38,-9.76,473.92,5,1.84
EcomNext,E-Commerce,6.25,1413.83,13646.0,20.2,310.79,1,16.46
EcomNext,Cloud Computing,14.56,1085.42,35808.76,18.97,307.18,3,7.1
AI Ventures,Artificial Intelligence,20.47,538.41,41749.23,24.33,162.96,1,7.45
AI Ventures,FinTech,27.06,69.81,47164.04,22.0,393.92,0,14.03
CloudX,FinTech,8.12,844.58,5168.53,22.83,358.84,10,6.72
CloudX,Artificial Intelligence,22.39,555.72,8508.62,28.49,78.53,1,18.86
InnoSoft,E-Commerce,16.77,1344.31,13417.16,2.66,337.4,6,2.42
QuantumLeap,Cybersecurity,4.03,1496.84,537.49,-6.48,494.75,10,17.26
TechCorp,E-Commerce,12.89,1390.07,43903.3,3.72,344.96,7,2.47
EcomNext,E-Commerce,6.17,1403.53,18182.36,9.37,290.55,10,1.3
AI Ventures,E-Commerce,24.39,1492.22,31462.67,13.25,10.66,2,13.16
CloudX,Artificial Intelligence,21.04,349.6,25301.12,10.58,137.19,7,1.63
AI Ventures,E-Commerce,23.43,97.92,8992.33,25.11,406.22,8,17.86
AI Ventures,E-Commerce,10.16,959.74,21695.6,13.11,102.17,10,10.83
QuantumLeap,Artificial Intelligence,23.21,623.8,30871.84,12.36,372.55,6,11.59
QuantumLeap,Cybersecurity,18.41,1115.31,12649.09,14.19,101.05,7,6.82
TechCorp,FinTech,1.68,1094.25,33244.66,21.16,176.28,8,15.83
AI Ventures,Cybersecurity,16.46,605.83,10664.08,5.68,194.0,5,16.92
TechCorp,FinTech,38.84,795.38,39224.03,-7.45,112.05,7,11.83
TechCorp,E-Commerce,35.26,122.02,12804.14,3.84,110.43,6,18.47
TechCorp,FinTech,25.23,142.44,22800.5,-5.19,228.35,10,9.45
TechCorp,FinTech,36.39,662.76,511.38,9.94,84.5,10,6.96
AI Ventures,Cloud Computing,1.36,1161.15,34736.57,19.83,261.15,9,9.95
InnoSoft,Cybersecurity,18.5,1359.84,42557.47,29.99,470.22,6,18.49
CloudX,Artificial Intelligence,34.77,1238.17,16256.59,13.97,147.35,8,6.27
CloudX,FinTech,39.14,635.06,46212.85,-5.57,102.18,9,3.74
EcomNext,Cloud Computing,26.37,1186.03,7041.96,19.72,457.21,9,6.64
InnoSoft,FinTech,32.54,543.18,43306.87,-8.07,477.99,8,14.69
InnoSoft,FinTech,34.89,459.22,11175.08,10.45,392.99,10,17.35
AI Ventures,FinTech,12.67,679.64,35377.58,5.29,59.37,6,10.63
CloudX,Cybersecurity,9.83,521.97,9355.84,13.21,288.29,5,15.28
TechCorp,FinTech,29.97,841.02,26795.45,25.53,125.25,5,9.04
CloudX,E-Commerce,37.6,485.47,23351.08,6.21,197.95,3,10.34
CloudX,Artificial Intelligence,2.14,91.27,38373.73,29.96,450.95,7,5.76
InnoSoft,Cloud Computing,13.84,620.76,15674.94,18.94,222.26,2,18.44
CloudX,Cybersecurity,1.49,1394.16,29702.19,-5.65,12.84,9,7.09
TechCorp,FinTech,39.99,1010.38,41521.66,28.51,135.85,3,4.36
AI Ventures,Cybersecurity,9.28,355.45,45839.2,-9.61,91.47,7,14.58
QuantumLeap,Artificial Intelligence,17.36,1297.83,42787.83,12.81,219.98,2,11.46
CloudX,Cybersecurity,13.84,1245.34,11474.71,11.6,233.7,7,1.1
CloudX,E-Commerce,35.78,141.17,5659.74,0.84,467.8,2,19.68
EcomNext,E-Commerce,27.07,952.55,48832.61,-6.25,349.98,3,8.72
EcomNext,Cybersecurity,17.3,1379.5,48267.41,16.67,179.58,0,19.75
CloudX,E-Commerce,37.74,103.58,42714.81,28.2,340.12,4,17.98
CloudX,FinTech,33.83,1385.76,48739.96,15.71,239.13,2,9.9
EcomNext,E-Commerce,20.12,692.61,4405.84,13.86,149.53,9,5.83
AI Ventures,FinTech,6.34,820.81,10299.84,17.32,338.56,3,4.16
TechCorp,E-Commerce,24.1,870.33,35084.72,-0.76,26.69,9,11.23
QuantumLeap,Cloud Computing,23.9,846.92,41308.4,15.25,408.62,5,5.13
EcomNext,Cybersecurity,24.62,477.43,33238.51,26.81,461.35,5,8.18
QuantumLeap,E-Commerce,6.76,701.33,10327.22,13.7,77.09,8,7.91
QuantumLeap,E-Commerce,11.77,646.62,24219.59,16.72,227.16,4,2.21
CloudX,Cloud Computing,31.59,494.83,49324.89,-0.68,266.21,8,18.36
TechCorp,Artificial Intelligence,31.08,842.54,46065.88,28.4,331.75,2,14.34
EcomNext,Cybersecurity,6.01,305.29,37475.47,24.1,449.21,7,19.31
CloudX,Cybersecurity,9.92,367.74,1698.36,-0.2,300.27,2,9.3
CloudX,E-Commerce,28.51,706.85,12060.05,-6.54,407.82,6,8.7
InnoSoft,Cloud Computing,34.95,493.25,42762.54,26.8,61.25,1,10.43
InnoSoft,Cybersecurity,36.99,952.19,36087.82,14.82,91.99,5,12.06
QuantumLeap,Artificial Intelligence,16.03,884.85,2582.55,21.64,392.76,1,7.99
TechCorp,E-Commerce,39.52,257.52,31196.2,0.4,10.38,7,9.15
QuantumLeap,E-Commerce,39.31,561.3,48992.41,7.63,234.55,3,11.45
CloudX,Cybersecurity,39.56,109.54,16607.71,-5.53,183.97,2,16.42
TechCorp,Cloud Computing,15.9,1431.74,28940.37,-8.13,209.44,2,7.69
InnoSoft,Cloud Computing,21.16,653.58,30570.26,27.38,150.0,5,14.18
TechCorp,FinTech,3.01,616.13,36221.17,-5.56,375.15,2,4.43
InnoSoft,FinTech,7.03,281.3,23498.28,25.03,104.76,10,12.81
TechCorp,E-Commerce,29.64,258.86,25830.05,-2.62,78.95,5,10.54
QuantumLeap,E-Commerce,34.8,1275.38,25230.49,12.24,438.71,1,6.93
EcomNext,FinTech,6.3,540.03,44537.37,-1.63,152.95,6,18.76
EcomNext,E-Commerce,27.68,682.94,48897.99,15.87,200.92,8,17.3
EcomNext,Artificial Intelligence,38.13,476.18,30702.34,2.43,9.63,0,8.26
EcomNext,E-Commerce,21.16,978.72,33003.16,3.78,62.23,0,7.78
CloudX,Artificial Intelligence,13.04,1314.23,19975.72,-0.1,164.33,2,13.34
AI Ventures,Cloud Computing,7.13,511.65,345.1,12.6,92.36,2,3.6
EcomNext,E-Commerce,15.71,1276.33,12163.42,20.63,349.32,2,11.06
AI Ventures,Cybersecurity,13.35,690.38,26623.3,13.52,151.41,1,6.61
QuantumLeap,Cloud Computing,34.15,442.34,3845.9,-7.8,78.98,4,19.84
CloudX,Cybersecurity,21.9,768.35,33627.26,6.04,254.81,5,18.19
QuantumLeap,Cloud Computing,17.44,1398.69,47680.54,-7.4,15.44,1,5.4
InnoSoft,E-Commerce,29.39,1172.08,30189.92,3.2,479.47,2,15.93
CloudX,FinTech,39.44,696.24,21249.73,-5.25,416.53,9,1.38
CloudX,E-Commerce,13.17,1479.91,35537.7,29.5,429.17,10,8.56
QuantumLeap,E-Commerce,27.11,1221.26,36942.99,9.74,212.15,1,9.58
EcomNext,Cybersecurity,17.49,518.41,10106.39,-2.92,238.0,0,13.01
InnoSoft,Cloud Computing,3.04,1080.53,44419.31,15.66,282.05,0,1.7
QuantumLeap,E-Commerce,6.13,952.55,5744.15,13.61,279.01,10,5.26
InnoSoft,Cloud Computing,14.22,934.53,15389.75,24.17,371.41,1,4.17
CloudX,Artificial Intelligence,32.74,108.93,17092.8,23.88,73.17,2,14.75
EcomNext,FinTech,15.54,180.93,40349.85,14.1,205.19,3,2.29
QuantumLeap,E-Commerce,9.59,785.08,31423.02,-4.01,130.34,5,11.22
InnoSoft,FinTech,27.3,820.99,44648.31,22.47,495.2,6,4.21
QuantumLeap,FinTech,6.55,137.83,6032.63,8.98,437.13,9,15.87
CloudX,Cybersecurity,15.12,1418.57,34816.21,26.99,162.82,8,12.96
AI Ventures,Cybersecurity,22.99,615.84,5986.64,2.59,415.13,5,13.93
EcomNext,FinTech,24.86,774.85,42508.82,29.6,127.37,7,17.89
QuantumLeap,Cloud Computing,8.1,1331.42,5418.56,-9.8,330.82,7,11.97
QuantumLeap,FinTech,22.72,764.66,16438.88,29.34,307.81,2,11.19
QuantumLeap,Cybersecurity,29.19,404.36,44898.84,9.99,385.99,1,2.83
InnoSoft,FinTech,34.45,1284.73,5421.39,6.37,306.69,8,8.75
AI Ventures,E-Commerce,34.56,430.13,9614.81,4.53,296.9,6,1.0
InnoSoft,FinTech,38.2,948.02,8821.39,-3.5,8.48,3,12.84
EcomNext,Cloud Computing,35.42,1085.53,7197.17,20.17,197.82,8,2.53
CloudX,Artificial Intelligence,38.27,1092.42,28397.08,14.43,235.77,0,15.25
CloudX,Artificial Intelligence,32.78,421.68,7231.89,11.83,48.23,1,11.9
QuantumLeap,FinTech,23.28,804.36,17830.17,26.23,99.86,2,14.23
QuantumLeap,Cybersecurity,12.26,1331.95,2395.26,6.84,28.49,4,1.52
CloudX,Cybersecurity,39.7,632.39,21890.57,-0.88,318.04,9,1.45
CloudX,Artificial Intelligence,7.67,998.16,47443.35,-0.37,459.55,10,17.97
TechCorp,Cloud Computing,35.92,1466.38,33515.22,29.21,462.92,3,13.57
InnoSoft,E-Commerce,5.45,1151.35,29402.67,-7.5,371.45,1,2.68
EcomNext,E-Commerce,14.72,1383.85,13786.82,11.68,83.52,7,13.74
CloudX,Cloud Computing,35.74,1048.3,15437.07,21.99,83.98,1,3.92
TechCorp,Artificial Intelligence,28.84,896.75,17831.77,-1.02,461.6,6,4.03
CloudX,FinTech,2.04,1349.3,40942.95,12.38,486.14,9,17.16
QuantumLeap,FinTech,2.18,1038.87,10842.71,15.52,213.88,5,3.5
TechCorp,Artificial Intelligence,25.56,789.88,41044.31,12.06,188.67,1,16.59
InnoSoft,E-Commerce,38.02,997.19,39629.08,13.58,378.43,0,8.86
QuantumLeap,E-Commerce,35.03,751.77,7994.57,24.81,423.29,1,11.62
EcomNext,Artificial Intelligence,5.88,349.0,44477.65,19.66,469.66,9,5.16
EcomNext,Artificial Intelligence,19.82,490.43,14838.69,-3.45,290.03,0,12.55
InnoSoft,Artificial Intelligence,18.73,396.46,22232.75,11.0,484.85,4,6.08
CloudX,Cloud Computing,21.25,260.89,31267.84,2.82,16.8,5,5.66
TechCorp,Cybersecurity,25.77,1278.38,39919.91,0.91,143.51,8,13.03
TechCorp,Cybersecurity,21.46,483.37,7785.3,-8.27,336.3,8,12.47
InnoSoft,Cloud Computing,24.89,1318.53,3559.87,8.04,48.66,10,2.74
InnoSoft,FinTech,28.49,1307.01,8020.37,-3.57,217.62,10,7.08
CloudX,Artificial Intelligence,12.3,917.29,35466.25,-4.95,52.23,7,8.22
TechCorp,Cybersecurity,2.16,816.29,13423.4,3.68,472.92,10,1.01
TechCorp,E-Commerce,24.3,1404.52,42515.13,11.4,492.84,0,5.31
AI Ventures,Cybersecurity,17.06,170.61,3188.25,-5.61,460.27,6,16.46
TechCorp,E-Commerce,34.96,616.17,181.73,3.69,215.26,0,2.55
TechCorp,FinTech,1.9,569.57,42152.8,-10.0,10.1,0,1.37
QuantumLeap,FinTech,8.4,1016.08,25671.48,0.19,457.32,5,8.64
EcomNext,Cloud Computing,27.44,683.44,34012.55,-3.07,309.97,4,10.48
QuantumLeap,Cybersecurity,20.27,1195.51,47053.89,27.46,447.3,4,19.44
QuantumLeap,Cloud Computing,20.45,1107.36,26898.44,21.19,434.26,0,6.72
QuantumLeap,Artificial Intelligence,17.53,967.09,27879.29,-9.34,266.61,3,17.33
EcomNext,Artificial Intelligence,38.77,620.08,23660.76,27.05,218.48,9,19.14
InnoSoft,FinTech,22.08,1250.27,20880.88,13.01,30.46,3,2.99
TechCorp,Cloud Computing,18.63,702.47,19027.18,25.47,363.89,3,9.67
QuantumLeap,Artificial Intelligence,26.17,775.01,14654.15,-3.57,195.02,5,12.33
TechCorp,Cloud Computing,37.03,433.43,27406.18,18.77,111.35,6,1.71
